"variable","ccodealp","year","metric","value"
"mad_gdppc","POL",1998,"value.u",0.163214080631537
"mad_gdppc","POL",1999,"value.u",0.17532031167425
"mad_gdppc","POL",2001,"value.u",0.190483136911201
"mad_gdppc","POL",2002,"value.u",0.194817039620392
"mad_gdppc","POL",2003,"value.u",0.206373320180115
"mad_gdppc","POL",2004,"value.u",0.222922216094268
"mad_gdppc","POL",2005,"value.u",0.234745654212476
"mad_gdppc","POL",2006,"value.u",0.255702483591108
"mad_gdppc","POL",2007,"value.u",0.280080571798606
"mad_gdppc","SWE",1992,"value.u",0.56738251956559
"mad_gdppc","SWE",1993,"value.u",0.551672990634399
"mad_gdppc","SWE",1994,"value.u",0.57009423367074
"mad_gdppc","SWE",1995,"value.u",0.590750621487537
"mad_gdppc","SWE",1996,"value.u",0.599859723252249
"mad_gdppc","SWE",1997,"value.u",0.620986353397782
"mad_gdppc","SWE",1998,"value.u",0.648908636396306
"mad_gdppc","SWE",1999,"value.u",0.68205488931448
"mad_gdppc","SWE",2001,"value.u",0.720266420355223
"mad_gdppc","SWE",2002,"value.u",0.738759595445483
"mad_gdppc","SWE",2003,"value.u",0.753370106872185
"mad_gdppc","SWE",2004,"value.u",0.775323047039259
"mad_gdppc","SWE",2005,"value.u",0.802603061796509
"mad_gdppc","SWE",2006,"value.u",0.838952619182075
"mad_gdppc","SWE",2007,"value.u",0.861874401346586
"mad_gdppc","UKR",1992,"value.u",0.0936578986590082
"mad_gdppc","UKR",1993,"value.u",0.0660855461320622
"mad_gdppc","UKR",1994,"value.u",0.0286464837548749
"mad_gdppc","UKR",1995,"value.u",0.013799586650054
"mad_gdppc","UKR",1996,"value.u",0.00328599321775275
"mad_gdppc","UKR",1997,"value.u",0.00106544106548959
"mad_gdppc","UKR",1998,"value.u",0
"mad_gdppc","UKR",1999,"value.u",0.000711401552878872
"mad_gdppc","UKR",2001,"value.u",0.0188359108913267
"mad_gdppc","UKR",2002,"value.u",0.0261952525304165
"mad_gdppc","UKR",2003,"value.u",0.0391982153576824
"mad_gdppc","UKR",2004,"value.u",0.0572490789317559
"mad_gdppc","UKR",2005,"value.u",0.0626886010941834
"mad_gdppc","UKR",2006,"value.u",0.0758423833110312
"mad_gdppc","UKR",2007,"value.u",0.0910552264890418
"SI.DST.04TH.20","DEU",1994,"value.u",0.633507853403142
"SI.DST.04TH.20","DEU",1994,"value.u",0.633507853403142
"SI.DST.04TH.20","DEU",2004,"value.u",0.366492146596858
"SI.DST.04TH.20","DEU",2004,"value.u",0.366492146596858
"SI.DST.04TH.20","DEU",2007,"value.u",0.25130890052356
"SI.DST.04TH.20","DEU",2007,"value.u",0.25130890052356
"SI.DST.04TH.20","DNK",1992,"value.u",0.6282722513089
"SI.DST.04TH.20","DNK",1995,"value.u",0.539267015706807
"SI.DST.04TH.20","DNK",2004,"value.u",0.596858638743456
"SI.DST.04TH.20","DNK",2007,"value.u",0.534031413612565
"SI.DST.04TH.20","ESP",1995,"value.u",0.586387434554974
"SI.DST.04TH.20","ESP",2004,"value.u",0.921465968586388
"SI.DST.04TH.20","ESP",2007,"value.u",0.984293193717277
"SI.DST.04TH.20","FIN",1995,"value.u",0.298429319371728
"SI.DST.04TH.20","FIN",2004,"value.u",0.324607329842932
"SI.DST.04TH.20","FIN",2007,"value.u",0.43979057591623
"SI.DST.04TH.20","FRA",1994,"value.u",0.403141361256544
"SI.DST.04TH.20","FRA",1994,"value.u",0.403141361256544
"SI.DST.04TH.20","FRA",2005,"value.u",0.581151832460733
"SI.DST.04TH.20","FRA",2005,"value.u",0.581151832460733
"SI.DST.04TH.20","NOR",1995,"value.u",1
"SI.DST.04TH.20","NOR",2004,"value.u",0
"SI.DST.04TH.20","NOR",2007,"value.u",0.549738219895288
"SI.DST.04TH.20","POL",1992,"value.u",0.884816753926702
"SI.DST.04TH.20","POL",1996,"value.u",0.209424083769635
"SI.DST.04TH.20","POL",1998,"value.u",0.329842931937172
"SI.DST.04TH.20","POL",1999,"value.u",0.418848167539267
"SI.DST.04TH.20","POL",2001,"value.u",0.486910994764398
"SI.DST.04TH.20","POL",2002,"value.u",0.387434554973823
"SI.DST.04TH.20","POL",2004,"value.u",0.581151832460733
"SI.DST.04TH.20","POL",2005,"value.u",0.429319371727749
"SI.DST.04TH.20","POL",2006,"value.u",0.465968586387435
"SI.DST.04TH.20","POL",2007,"value.u",0.3717277486911
"SI.DST.04TH.20","SWE",1992,"value.u",0.937172774869109
"SI.DST.04TH.20","SWE",1995,"value.u",0.989528795811519
"SI.DST.04TH.20","SWE",2005,"value.u",0.617801047120419
"SI.DST.04TH.20","UKR",1992,"value.u",0.732984293193718
"SI.DST.04TH.20","UKR",1995,"value.u",0.209424083769635
"SI.DST.04TH.20","UKR",1996,"value.u",0.272251308900523
"SI.DST.04TH.20","UKR",1999,"value.u",0.62303664921466
"SI.DST.04TH.20","UKR",2002,"value.u",0.581151832460733
"SI.DST.04TH.20","UKR",2003,"value.u",0.43455497382199
"SI.DST.04TH.20","UKR",2004,"value.u",0.602094240837697
"SI.DST.04TH.20","UKR",2005,"value.u",0.591623036649214
"SI.DST.04TH.20","UKR",2006,"value.u",0.445026178010472
"SI.DST.04TH.20","UKR",2007,"value.u",0.445026178010472
"SI.DST.10TH.10","DEU",1994,"value.u",0.361137440758294
"SI.DST.10TH.10","DEU",1994,"value.u",0.361137440758294
"SI.DST.10TH.10","DEU",2004,"value.u",0.507109004739336
"SI.DST.10TH.10","DEU",2004,"value.u",0.507109004739336
"SI.DST.10TH.10","DEU",2007,"value.u",0.557345971563981
"SI.DST.10TH.10","DEU",2007,"value.u",0.557345971563981
"SI.DST.10TH.10","DNK",1992,"value.u",0.0739336492890993
"SI.DST.10TH.10","DNK",1995,"value.u",0
"SI.DST.10TH.10","DNK",2004,"value.u",0.0502369668246443
"SI.DST.10TH.10","DNK",2007,"value.u",0.145023696682464
"SI.DST.10TH.10","ESP",1995,"value.u",0.737440758293839
"SI.DST.10TH.10","ESP",2004,"value.u",0.49478672985782
"SI.DST.10TH.10","ESP",2007,"value.u",0.41042654028436
"SI.DST.10TH.10","FIN",1995,"value.u",0.0682464454976302
"SI.DST.10TH.10","FIN",2004,"value.u",0.347867298578199
"SI.DST.10TH.10","FIN",2007,"value.u",0.314691943127962
"SI.DST.10TH.10","FRA",1994,"value.u",0.549763033175355
"SI.DST.10TH.10","FRA",1994,"value.u",0.549763033175355
"SI.DST.10TH.10","FRA",2005,"value.u",0.456872037914692
"SI.DST.10TH.10","FRA",2005,"value.u",0.456872037914692
"SI.DST.10TH.10","NOR",1995,"value.u",0.176303317535545
"SI.DST.10TH.10","NOR",2004,"value.u",0.544075829383886
"SI.DST.10TH.10","NOR",2007,"value.u",0.175355450236967
"SI.DST.10TH.10","POL",1992,"value.u",0.109004739336493
